website_type,safety_r,reputation,trustworthiness,child_safety,date
2,2,4.7,94,82,807
2,1,0,0,0,790
2,2,3.9,77,99,820
2,2,4.7,94,82,819
2,2,4.7,94,82,806
2,2,4.7,94,82,808
2,2,4.7,94,82,811
2,2,3.1,63,68,818
2,2,4.7,94,82,814
2,2,4.7,94,82,811
2,2,4.7,94,82,814
2,2,3.1,63,68,819
2,2,4.7,94,82,806
2,2,4.7,94,82,805
2,2,4.7,94,82,815
2,2,4.3,87,87,819
2,2,4.7,94,82,806
3,1,3.9,78,82,804
2,1,0,0,0,803
2,2,3.1,63,68,819
2,2,4.7,94,82,814
2,1,4.6,92,90,800
2,1,0,0,0,814
2,1,4,80,93,794
2,2,4.7,94,82,820
2,2,4.7,94,94,819
2,2,4.5,89,87,802
2,1,4,80,93,806
2,1,0,0,0,803
2,2,4.7,94,82,817
2,2,4.7,94,82,814
2,2,4.7,94,82,812
2,2,3.1,63,68,818
8,2,4.6,92,92,820
2,1,0,0,0,814
2,2,3.1,63,68,819
2,2,4.7,94,82,814
2,2,4.7,94,82,813
2,2,4.7,94,94,820
2,2,4.1,82,90,817
2,2,4.5,89,87,802
2,1,0,0,0,802
2,1,2.5,50,0,816
2,1,4,80,93,807
2,2,4.7,94,82,818
2,2,4.7,94,82,814
4,1,0,0,0,808
2,1,0,0,0,797
2,2,3.1,63,68,819
2,2,3.1,63,68,818
1,2,3.6,72,85,819
2,2,3.1,63,68,818
2,2,4.7,94,82,806
2,2,4,81,76,818
2,1,0,0,0,808
2,1,3,60,0,816
2,2,4.5,91,53,802
2,1,3.3,65,84,798
2,2,4.7,94,82,812
2,1,4,80,93,794
2,2,4.7,94,82,819
2,2,4,81,85,820
2,2,4.7,94,82,814
2,1,4,80,93,814
2,1,4.3,87,0,803
2,2,4.5,89,87,806
2,1,0,0,0,807
2,1,3.3,66,61,820
2,1,0,0,0,810
3,1,2.5,50,52,814
2,1,0,0,0,817
2,1,0,0,0,819
2,2,3.1,63,68,819
2,1,0,0,0,802
2,2,3.9,77,99,820
2,1,0,0,0,793
2,2,4.1,82,90,818
8,2,4.6,92,92,819
2,2,4.7,94,82,818
7,2,4.7,93,89,804
2,1,2.4,48,3,791
4,1,0,0,0,792
2,1,2.9,58,80,806
2,1,0,0,0,819
2,1,0,0,0,813
2,2,4.5,89,87,812
2,2,4.7,94,82,816
2,2,3.5,70,74,819
2,2,4.7,94,94,815
2,1,0,0,0,803
2,1,2.8,56,56,808
2,1,4,80,93,814
2,1,0,0,0,800
2,2,3.5,69,70,790
2,2,4,81,76,817
2,1,0,0,0,806
2,1,2.5,50,11,819
2,2,3.5,69,70,820
2,1,2.5,50,0,802
2,2,3.1,63,68,819
1,1,3,60,54,811
2,2,3.1,63,68,818
2,1,0,0,0,801
2,1,2.5,50,0,808
2,1,0,0,0,794
2,1,0,0,0,805
2,1,2.5,50,11,792
2,1,0,0,0,811
2,1,4,80,93,805
2,2,3.1,63,68,818
2,1,0,0,0,808
2,2,4.5,89,87,818
2,2,3.5,69,70,802
2,2,3.1,63,68,819
2,1,0.3,7,29,818
2,1,0,0,0,818
2,1,0,0,0,790
2,1,2.5,50,0,792
2,2,4.7,94,82,815
2,2,4.3,85,87,800
2,1,4,80,93,806
2,1,2.1,42,58,813
2,1,3.3,65,84,814
2,2,4.4,88,88,818
2,1,4.2,84,0,812
2,1,4,80,93,808
2,2,3.5,69,70,799
2,1,0,0,0,793
1,2,3.6,72,85,815
2,2,3.5,69,70,810
1,2,3.6,72,85,819
2,2,4.7,94,82,808
2,1,4,80,93,807
2,2,4.7,94,82,813
2,1,0,0,0,815
2,2,4.3,86,89,799
2,1,0,0,0,808
2,2,4.7,94,82,806
2,1,3.5,70,0,817
2,1,2.5,50,0,805
2,1,0,0,0,817
2,2,4.7,94,82,819
2,1,4,80,93,814
2,2,4.5,89,87,812
2,2,3.1,63,68,818
2,2,3.5,69,70,819
2,1,4,80,93,806
2,1,4.3,86,100,802
2,1,3,60,0,793
