friends,followes,date
0,0,804
0,0,819
0,0,815
0,0,819
0,0,819
0,0,806
996193,739521,799
62322,60724,818
457911,402901,811
0,0,819
942649,944949,818
42042,41347,815
0,0,812
0,0,818
79800,79476,819
28514,26157,816
62322,60724,817
0,0,813
0,0,797
9916,9353,818
894210,903764,806
0,0,817
0,0,819
0,0,818
0,0,819
31190,31215,818
0,0,816
37718,36462,815
0,0,819
79800,79476,815
0,0,817
0,0,819
1402,1375,815
0,0,819
28514,26157,818
0,0,807
440208,914158,820
224402,223919,820
628597,617338,819
0,0,818
0,0,817
0,0,818
537448,523515,814
37718,36462,815
0,0,802
0,0,799
62322,60724,818
0,0,814
0,0,795
46824,46236,798
189418,186681,811
0,0,804
17731,17847,814
628597,617338,815
0,0,813
0,0,815
0,0,812
0,0,810
111722,106126,819
440208,914158,816
0,0,820
127093,128617,815
628597,617338,818
0,0,807
0,0,817
0,0,819
0,0,814
44979,43167,818
0,0,818
46824,46236,806
0,0,820
0,0,807
127093,128617,818
0,0,812
247459,141328,819
0,0,811
0,0,817
440208,914158,819
0,0,805
0,0,818
358257,150016,811
537448,523515,812
118605,114819,816
0,0,819
0,0,818
0,0,813
0,0,818
0,0,813
0,0,809
0,0,803
457911,402901,814
0,0,811
0,0,811
0,0,812
224402,223919,819
0,0,809
127093,128617,818
21813,22456,798
0,0,811
0,0,819
0,0,820
31190,31215,820
0,0,819
0,0,801
0,0,799
894210,903764,812
0,0,818
247459,141328,819
0,0,816
77740,76520,819
0,0,814
0,0,808
537448,523515,818
0,0,815
0,0,819
46824,46236,813
0,0,812
0,0,819
616920,597053,815
0,0,804
628597,617338,813
44979,43167,807
0,0,792
26489,26652,800
628597,617338,812
111722,106126,817
0,0,808
0,0,816
189418,186681,807
34512,34121,804
0,0,820
0,0,810
0,0,818
77740,76520,818
0,0,813
0,0,818
0,0,817
0,0,808
0,0,803
0,0,818
21813,22456,805
0,0,812
0,0,819
0,0,819
0,0,819
0,0,817
0,0,812
0,0,816
0,0,818
0,0,802
0,0,818
0,0,818
0,0,814
416462,418512,806
0,0,809
37718,36462,814
0,0,820
0,0,814
0,0,819
44979,43167,817
942649,944949,818
0,0,792
0,0,813
0,0,814
242009,249571,816
330704,318461,819
0,0,811
440208,914158,816
0,0,818
0,0,819
111722,106126,813
4949,4925,814
0,0,819
